Address_ID|Ent_ID|Address|City|stateProvince|Country|PostalCode|Remarks|NameSource
157708|1897504|Pasdaran Avenue|Tehran||Iran|||
160675|1866909|Building Banke Khoon Road|Harat|Harat Province|Afghanistan|||
160676|1866909|No. 56, Toraboz Khan Str.||Kabul Province|Afghanistan|||
160677|1866909|5 Lothbury|London|Greater London|United Kingdom|EC2R 7HD||
160678|1866909|Postfach 112227, Deichstrasse 11|Hamburg|Hamburg|Germany|20459||
160679|1866909|25-29 Venizelou St|Athens|Attica|Greece|GR 105 64||
160681|1866909|Bank Saderat Tower, 43 Somayeh Avenue|Tehran|Tehran Province|Iran|||
160682|1866909|16 rue de la Paix|Paris|Île-de-France|France|75002||
160683|1866909|Postfach 160151|Frankfurt am Main||Germany|D-60311||
160684|1866909|Ras El Ein Street|Baalbak|Beirut Governorate|Lebanon|||
160685|1866909|Sida Riad Elsoleh St|Saida|Beirut Governorate|Lebanon|||
160686|1866909|Sahat Mreijeh, Kafaat St|Beirut|Beirut Governorate|Lebanon|||
160687|1866909|Verdun - Rashid Karame St|Beirut|Beirut Governorate|Lebanon|||
160688|1866909||Beirut|Beirut Governorate|Lebanon|||
160689|1866909||Beirut|Beirut Governorate|Lebanon|||
160690|1866909|Ghobeiry Blvd|Beirut|Beirut Governorate|Lebanon|||
160691|1866909||Muscat|Muscat|Oman|112||
160692|1866909|Salwa Rd|Doha|Doha|Qatar|||
160693|1866909||Doha|Doha|Qatar|||
160694|1866909|No 181 Makhtoomgholi Ave|Ashgabat|Ashgabat|Turkmenistan|||
160695|1866909||Abu Dhabi|Abu Dhabi Emirates|United Arab Emirates|||
160696|1866909|Liwara Street|Ajman|Ajman Emirates|United Arab Emirates|||
160697|1866909|Al-Am Road, Al-Ein, Al Ain|Abu Dhabi|Abu Dhabi Emirates|United Arab Emirates|||
160698|1866909|Khaled Bin Al Walid St|Dubai|Dubai Emirates|United Arab Emirates|||
160699|1866909|Sheikh Zayed Rd|Dubai|Dubai Emirates|United Arab Emirates|||
160701|1866909|Almaktoum Rd|Dubai|Dubai Emirates|United Arab Emirates|||
160702|1866909|Murshid Bazar Branch|Dubai|Dubai Emirates|United Arab Emirates|||
160705|1866909|Alaroda St, Borj Ave|Sharjah|Sharjah Emirates|United Arab Emirates|||
162228|1870753|Walker House|George Town|Grand Cayman|Cayman Islands|||
170016|1868538||Tehran|Tehran Province|Iran|||
170244|1869174||Pyongyang|Pyongyang Province|North Korea|||
170325|1868538|Endof North Karegar Ave.|Tehran|Tehran Province|Iran|||
10852944|7241666||Stockwell|London|United Kingdom|||
11790993|8562825|OVERSEAS INVT. AND NETW. EXPANSION, FLOOR 2, 190 MIRDAMAD BLVD|TEHRAN|TEHRAN|Iran|1549634811||
11791158|8562968|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11791159|8562968|DAMAVAND ROAD|TEHRAN|TEHRAN|Iran|||
11791701|8563397|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11791702|8563397|SAJAD BLVD.|MASHHAD|MASHHAD|Iran|||
11791726|8563411|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11791727|8563411|SHAHRDARI SQ|SARI|SARI|Iran|||
11791890|8563497|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11794404|8566226|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11794605|8566412|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11794666|8566469|OVERSEAS INVT. AND NETW. EXPANSION|TEHRAN|TEHRAN|Iran|1549634811||
11794667|8566469|EMAM KHOMEINI|Neyshabur|Khorasan Razavi|Iran|||
254196|1956005|Depenau 2|Hamburg|Hamburg|Germany|D-20095||
10946030|5424909|Midan Street|Mazraat Yachouh|Metn|Lebanon|||
10946031|5424909|Asaad Karam Building, Midan Street|Mazraat Yachouh||Lebanon|||
10946106|1954047|605 Avenida Brasil|||Brazil|||
10952438|7360438|Main Street|Fallujah|Anbar|Iraq|||
10953309|7361735||Heet|Anbar|Iraq|||
10954034|7362421||Rutba|Al Anbar|Iraq|||
10954363|7362796||Mosul|Nineveh|Iraq|||
10955032|7363714||Mosul|Nineveh|Iraq|||
10955449|7364182|Al Corniche Str.|Mosul|Nineveh|Iraq|||
10956082|5773865|Brighton Beach, Brooklyn|New York||United States|11235||
11438126|8209316|No. 1568 Hutai Road|Shanghai||China|||
11904996|5947770|30/26, Gogol/Kaldayakov st.|Almaty|Almaty Region|Kazakhstan|050010||
11907139|8686088||||China|||
12403038|9143408|New Belgrade|Belgrade||Serbia|11077||
12404587|9144948|32 Novogorozhskaya street|Moscow||Russia|109544||
12405094|9145555|20 Repishcheva street|Saint Petersburg|Leningrad region|Russia|197375||
12408661|9149010|Nova Ves 17|Zagreb||Croatia|10 000||
